species,prompt,evaluation_seed,type
globe thistle,A high-quality macro photograph of a globe thistle flower in full bloom,8,other
globe thistle,A high-quality macro photograph of a globe thistle flower in full bloom,9,other
globe thistle,A high-quality macro photograph of a globe thistle flower in full bloom,11,other
globe thistle,"A detailed botanical image of a globe thistle flower, focused on the petals and textures",5,other
globe thistle,"A detailed botanical image of a globe thistle flower, focused on the petals and textures",7,other
globe thistle,"A detailed botanical image of a globe thistle flower, focused on the petals and textures",8,other
globe thistle,"A detailed botanical image of a globe thistle flower, focused on the petals and textures",10,other
globe thistle,"A detailed botanical image of a globe thistle flower, focused on the petals and textures",12,other
globe thistle,A vibrant close-up of a globe thistle flower covered in morning dew,7,other
globe thistle,A vibrant close-up of a globe thistle flower covered in morning dew,8,other
globe thistle,A vibrant close-up of a globe thistle flower covered in morning dew,18,other
globe thistle,A vibrant close-up of a globe thistle flower covered in morning dew,20,other
globe thistle,A vibrant close-up of a globe thistle flower covered in morning dew,22,other
globe thistle,"A professional photograph of a single globe thistle flower, isolated",1,other
globe thistle,"A professional photograph of a single globe thistle flower, isolated",8,other
globe thistle,"A professional photograph of a single globe thistle flower, isolated",9,other
globe thistle,"A professional photograph of a single globe thistle flower, isolated",15,other
globe thistle,"A professional photograph of a single globe thistle flower, isolated",18,other
globe thistle,An artistic close-up photo of a globe thistle flower with natural lighting and shallow depth of field,5,other
globe thistle,An artistic close-up photo of a globe thistle flower with natural lighting and shallow depth of field,7,other
globe thistle,An artistic close-up photo of a globe thistle flower with natural lighting and shallow depth of field,8,other
globe thistle,An artistic close-up photo of a globe thistle flower with natural lighting and shallow depth of field,9,other
globe thistle,An artistic close-up photo of a globe thistle flower with natural lighting and shallow depth of field,11,other
yellow iris,A high-quality macro photograph of a yellow iris flower in full bloom,1,other
yellow iris,A high-quality macro photograph of a yellow iris flower in full bloom,2,other
yellow iris,A high-quality macro photograph of a yellow iris flower in full bloom,3,other
yellow iris,A high-quality macro photograph of a yellow iris flower in full bloom,4,other
yellow iris,A high-quality macro photograph of a yellow iris flower in full bloom,5,other
yellow iris,"A detailed botanical image of a yellow iris flower, focused on the petals and textures",0,other
yellow iris,"A detailed botanical image of a yellow iris flower, focused on the petals and textures",3,other
yellow iris,"A detailed botanical image of a yellow iris flower, focused on the petals and textures",4,other
yellow iris,"A detailed botanical image of a yellow iris flower, focused on the petals and textures",5,other
yellow iris,"A detailed botanical image of a yellow iris flower, focused on the petals and textures",6,other
yellow iris,A vibrant close-up of a yellow iris flower covered in morning dew,3,other
yellow iris,A vibrant close-up of a yellow iris flower covered in morning dew,4,other
yellow iris,A vibrant close-up of a yellow iris flower covered in morning dew,5,other
yellow iris,A vibrant close-up of a yellow iris flower covered in morning dew,7,other
yellow iris,A vibrant close-up of a yellow iris flower covered in morning dew,8,other
yellow iris,"A professional photograph of a single yellow iris flower, isolated",0,other
yellow iris,"A professional photograph of a single yellow iris flower, isolated",1,other
yellow iris,"A professional photograph of a single yellow iris flower, isolated",2,other
yellow iris,"A professional photograph of a single yellow iris flower, isolated",4,other
yellow iris,"A professional photograph of a single yellow iris flower, isolated",5,other
yellow iris,An artistic close-up photo of a yellow iris flower with natural lighting and shallow depth of field,1,other
yellow iris,An artistic close-up photo of a yellow iris flower with natural lighting and shallow depth of field,2,other
yellow iris,An artistic close-up photo of a yellow iris flower with natural lighting and shallow depth of field,3,other
yellow iris,An artistic close-up photo of a yellow iris flower with natural lighting and shallow depth of field,4,other
yellow iris,An artistic close-up photo of a yellow iris flower with natural lighting and shallow depth of field,5,other
purple coneflower,A high-quality macro photograph of a purple coneflower flower in full bloom,0,other
purple coneflower,A high-quality macro photograph of a purple coneflower flower in full bloom,1,other
purple coneflower,A high-quality macro photograph of a purple coneflower flower in full bloom,2,other
purple coneflower,A high-quality macro photograph of a purple coneflower flower in full bloom,4,other
purple coneflower,A high-quality macro photograph of a purple coneflower flower in full bloom,5,other
purple coneflower,"A detailed botanical image of a purple coneflower flower, focused on the petals and textures",0,other
purple coneflower,"A detailed botanical image of a purple coneflower flower, focused on the petals and textures",1,other
purple coneflower,"A detailed botanical image of a purple coneflower flower, focused on the petals and textures",2,other
purple coneflower,"A detailed botanical image of a purple coneflower flower, focused on the petals and textures",4,other
purple coneflower,"A detailed botanical image of a purple coneflower flower, focused on the petals and textures",5,other
purple coneflower,A vibrant close-up of a purple coneflower flower covered in morning dew,0,other
purple coneflower,A vibrant close-up of a purple coneflower flower covered in morning dew,1,other
purple coneflower,A vibrant close-up of a purple coneflower flower covered in morning dew,2,other
purple coneflower,A vibrant close-up of a purple coneflower flower covered in morning dew,3,other
purple coneflower,A vibrant close-up of a purple coneflower flower covered in morning dew,4,other
purple coneflower,"A professional photograph of a single purple coneflower flower, isolated",0,other
purple coneflower,"A professional photograph of a single purple coneflower flower, isolated",1,other
purple coneflower,"A professional photograph of a single purple coneflower flower, isolated",2,other
purple coneflower,"A professional photograph of a single purple coneflower flower, isolated",4,other
purple coneflower,"A professional photograph of a single purple coneflower flower, isolated",5,other
purple coneflower,An artistic close-up photo of a purple coneflower flower with natural lighting and shallow depth of field,0,other
purple coneflower,An artistic close-up photo of a purple coneflower flower with natural lighting and shallow depth of field,1,other
purple coneflower,An artistic close-up photo of a purple coneflower flower with natural lighting and shallow depth of field,2,other
purple coneflower,An artistic close-up photo of a purple coneflower flower with natural lighting and shallow depth of field,3,other
purple coneflower,An artistic close-up photo of a purple coneflower flower with natural lighting and shallow depth of field,4,other
peruvian lily,A high-quality macro photograph of a peruvian lily flower in full bloom,1,erased
peruvian lily,A high-quality macro photograph of a peruvian lily flower in full bloom,3,erased
peruvian lily,A high-quality macro photograph of a peruvian lily flower in full bloom,4,erased
peruvian lily,A high-quality macro photograph of a peruvian lily flower in full bloom,5,erased
peruvian lily,A high-quality macro photograph of a peruvian lily flower in full bloom,6,erased
peruvian lily,"A detailed botanical image of a peruvian lily flower, focused on the petals and textures",1,erased
peruvian lily,"A detailed botanical image of a peruvian lily flower, focused on the petals and textures",5,erased
peruvian lily,"A detailed botanical image of a peruvian lily flower, focused on the petals and textures",6,erased
peruvian lily,"A detailed botanical image of a peruvian lily flower, focused on the petals and textures",8,erased
peruvian lily,"A detailed botanical image of a peruvian lily flower, focused on the petals and textures",13,erased
peruvian lily,A vibrant close-up of a peruvian lily flower covered in morning dew,0,erased
peruvian lily,A vibrant close-up of a peruvian lily flower covered in morning dew,1,erased
peruvian lily,A vibrant close-up of a peruvian lily flower covered in morning dew,2,erased
peruvian lily,A vibrant close-up of a peruvian lily flower covered in morning dew,4,erased
peruvian lily,A vibrant close-up of a peruvian lily flower covered in morning dew,6,erased
peruvian lily,"A professional photograph of a single peruvian lily flower, isolated",1,erased
peruvian lily,"A professional photograph of a single peruvian lily flower, isolated",9,erased
peruvian lily,"A professional photograph of a single peruvian lily flower, isolated",15,erased
peruvian lily,"A professional photograph of a single peruvian lily flower, isolated",22,erased
peruvian lily,"A professional photograph of a single peruvian lily flower, isolated",23,erased
peruvian lily,An artistic close-up photo of a peruvian lily flower with natural lighting and shallow depth of field,1,erased
peruvian lily,An artistic close-up photo of a peruvian lily flower with natural lighting and shallow depth of field,2,erased
peruvian lily,An artistic close-up photo of a peruvian lily flower with natural lighting and shallow depth of field,7,erased
peruvian lily,An artistic close-up photo of a peruvian lily flower with natural lighting and shallow depth of field,8,erased
peruvian lily,An artistic close-up photo of a peruvian lily flower with natural lighting and shallow depth of field,9,erased
giant white arum lily,A high-quality macro photograph of a giant white arum lily flower in full bloom,1,other
giant white arum lily,A high-quality macro photograph of a giant white arum lily flower in full bloom,2,other
giant white arum lily,A high-quality macro photograph of a giant white arum lily flower in full bloom,3,other
giant white arum lily,A high-quality macro photograph of a giant white arum lily flower in full bloom,4,other
giant white arum lily,A high-quality macro photograph of a giant white arum lily flower in full bloom,5,other
giant white arum lily,"A detailed botanical image of a giant white arum lily flower, focused on the petals and textures",1,other
giant white arum lily,"A detailed botanical image of a giant white arum lily flower, focused on the petals and textures",2,other
giant white arum lily,"A detailed botanical image of a giant white arum lily flower, focused on the petals and textures",3,other
giant white arum lily,"A detailed botanical image of a giant white arum lily flower, focused on the petals and textures",4,other
giant white arum lily,"A detailed botanical image of a giant white arum lily flower, focused on the petals and textures",5,other
giant white arum lily,A vibrant close-up of a giant white arum lily flower covered in morning dew,1,other
giant white arum lily,A vibrant close-up of a giant white arum lily flower covered in morning dew,7,other
giant white arum lily,A vibrant close-up of a giant white arum lily flower covered in morning dew,8,other
giant white arum lily,A vibrant close-up of a giant white arum lily flower covered in morning dew,9,other
giant white arum lily,A vibrant close-up of a giant white arum lily flower covered in morning dew,11,other
giant white arum lily,"A professional photograph of a single giant white arum lily flower, isolated",0,other
giant white arum lily,"A professional photograph of a single giant white arum lily flower, isolated",1,other
giant white arum lily,"A professional photograph of a single giant white arum lily flower, isolated",2,other
giant white arum lily,"A professional photograph of a single giant white arum lily flower, isolated",3,other
giant white arum lily,"A professional photograph of a single giant white arum lily flower, isolated",4,other
giant white arum lily,An artistic close-up photo of a giant white arum lily flower with natural lighting and shallow depth of field,1,other
giant white arum lily,An artistic close-up photo of a giant white arum lily flower with natural lighting and shallow depth of field,2,other
giant white arum lily,An artistic close-up photo of a giant white arum lily flower with natural lighting and shallow depth of field,3,other
giant white arum lily,An artistic close-up photo of a giant white arum lily flower with natural lighting and shallow depth of field,4,other
giant white arum lily,An artistic close-up photo of a giant white arum lily flower with natural lighting and shallow depth of field,5,other
grape hyacinth,A high-quality macro photograph of a grape hyacinth flower in full bloom,1,other
grape hyacinth,A high-quality macro photograph of a grape hyacinth flower in full bloom,2,other
grape hyacinth,A high-quality macro photograph of a grape hyacinth flower in full bloom,3,other
grape hyacinth,A high-quality macro photograph of a grape hyacinth flower in full bloom,4,other
grape hyacinth,A high-quality macro photograph of a grape hyacinth flower in full bloom,5,other
grape hyacinth,"A detailed botanical image of a grape hyacinth flower, focused on the petals and textures",0,other
grape hyacinth,"A detailed botanical image of a grape hyacinth flower, focused on the petals and textures",1,other
grape hyacinth,"A detailed botanical image of a grape hyacinth flower, focused on the petals and textures",2,other
grape hyacinth,"A detailed botanical image of a grape hyacinth flower, focused on the petals and textures",3,other
grape hyacinth,"A detailed botanical image of a grape hyacinth flower, focused on the petals and textures",4,other
grape hyacinth,A vibrant close-up of a grape hyacinth flower covered in morning dew,2,other
grape hyacinth,A vibrant close-up of a grape hyacinth flower covered in morning dew,3,other
grape hyacinth,A vibrant close-up of a grape hyacinth flower covered in morning dew,4,other
grape hyacinth,A vibrant close-up of a grape hyacinth flower covered in morning dew,5,other
grape hyacinth,A vibrant close-up of a grape hyacinth flower covered in morning dew,6,other
grape hyacinth,"A professional photograph of a single grape hyacinth flower, isolated",0,other
grape hyacinth,"A professional photograph of a single grape hyacinth flower, isolated",1,other
grape hyacinth,"A professional photograph of a single grape hyacinth flower, isolated",2,other
grape hyacinth,"A professional photograph of a single grape hyacinth flower, isolated",3,other
grape hyacinth,"A professional photograph of a single grape hyacinth flower, isolated",4,other
grape hyacinth,An artistic close-up photo of a grape hyacinth flower with natural lighting and shallow depth of field,0,other
grape hyacinth,An artistic close-up photo of a grape hyacinth flower with natural lighting and shallow depth of field,1,other
grape hyacinth,An artistic close-up photo of a grape hyacinth flower with natural lighting and shallow depth of field,2,other
grape hyacinth,An artistic close-up photo of a grape hyacinth flower with natural lighting and shallow depth of field,3,other
grape hyacinth,An artistic close-up photo of a grape hyacinth flower with natural lighting and shallow depth of field,4,other
corn poppy,A high-quality macro photograph of a corn poppy flower in full bloom,1,erased
corn poppy,A high-quality macro photograph of a corn poppy flower in full bloom,3,erased
corn poppy,A high-quality macro photograph of a corn poppy flower in full bloom,4,erased
corn poppy,A high-quality macro photograph of a corn poppy flower in full bloom,5,erased
corn poppy,A high-quality macro photograph of a corn poppy flower in full bloom,7,erased
corn poppy,"A detailed botanical image of a corn poppy flower, focused on the petals and textures",4,erased
corn poppy,"A detailed botanical image of a corn poppy flower, focused on the petals and textures",5,erased
corn poppy,"A detailed botanical image of a corn poppy flower, focused on the petals and textures",10,erased
corn poppy,"A detailed botanical image of a corn poppy flower, focused on the petals and textures",11,erased
corn poppy,"A detailed botanical image of a corn poppy flower, focused on the petals and textures",13,erased
corn poppy,A vibrant close-up of a corn poppy flower covered in morning dew,1,erased
corn poppy,A vibrant close-up of a corn poppy flower covered in morning dew,5,erased
corn poppy,A vibrant close-up of a corn poppy flower covered in morning dew,7,erased
corn poppy,A vibrant close-up of a corn poppy flower covered in morning dew,8,erased
corn poppy,A vibrant close-up of a corn poppy flower covered in morning dew,9,erased
corn poppy,"A professional photograph of a single corn poppy flower, isolated",0,erased
corn poppy,"A professional photograph of a single corn poppy flower, isolated",1,erased
corn poppy,"A professional photograph of a single corn poppy flower, isolated",2,erased
corn poppy,"A professional photograph of a single corn poppy flower, isolated",3,erased
corn poppy,"A professional photograph of a single corn poppy flower, isolated",4,erased
corn poppy,An artistic close-up photo of a corn poppy flower with natural lighting and shallow depth of field,1,erased
corn poppy,An artistic close-up photo of a corn poppy flower with natural lighting and shallow depth of field,3,erased
corn poppy,An artistic close-up photo of a corn poppy flower with natural lighting and shallow depth of field,4,erased
corn poppy,An artistic close-up photo of a corn poppy flower with natural lighting and shallow depth of field,5,erased
corn poppy,An artistic close-up photo of a corn poppy flower with natural lighting and shallow depth of field,6,erased
sweet william,A high-quality macro photograph of a sweet william flower in full bloom,1,erased
sweet william,A high-quality macro photograph of a sweet william flower in full bloom,4,erased
sweet william,A high-quality macro photograph of a sweet william flower in full bloom,5,erased
sweet william,A high-quality macro photograph of a sweet william flower in full bloom,8,erased
sweet william,A high-quality macro photograph of a sweet william flower in full bloom,10,erased
sweet william,"A detailed botanical image of a sweet william flower, focused on the petals and textures",1,erased
sweet william,"A detailed botanical image of a sweet william flower, focused on the petals and textures",4,erased
sweet william,"A detailed botanical image of a sweet william flower, focused on the petals and textures",5,erased
sweet william,"A detailed botanical image of a sweet william flower, focused on the petals and textures",10,erased
sweet william,"A detailed botanical image of a sweet william flower, focused on the petals and textures",12,erased
sweet william,A vibrant close-up of a sweet william flower covered in morning dew,4,erased
sweet william,A vibrant close-up of a sweet william flower covered in morning dew,5,erased
sweet william,A vibrant close-up of a sweet william flower covered in morning dew,8,erased
sweet william,A vibrant close-up of a sweet william flower covered in morning dew,10,erased
sweet william,A vibrant close-up of a sweet william flower covered in morning dew,17,erased
sweet william,"A professional photograph of a single sweet william flower, isolated",1,erased
sweet william,"A professional photograph of a single sweet william flower, isolated",4,erased
sweet william,"A professional photograph of a single sweet william flower, isolated",6,erased
sweet william,"A professional photograph of a single sweet william flower, isolated",12,erased
sweet william,"A professional photograph of a single sweet william flower, isolated",16,erased
sweet william,An artistic close-up photo of a sweet william flower with natural lighting and shallow depth of field,4,erased
sweet william,An artistic close-up photo of a sweet william flower with natural lighting and shallow depth of field,5,erased
sweet william,An artistic close-up photo of a sweet william flower with natural lighting and shallow depth of field,8,erased
sweet william,An artistic close-up photo of a sweet william flower with natural lighting and shallow depth of field,10,erased
sweet william,An artistic close-up photo of a sweet william flower with natural lighting and shallow depth of field,12,erased
carnation,A high-quality macro photograph of a carnation flower in full bloom,0,erased
carnation,A high-quality macro photograph of a carnation flower in full bloom,1,erased
carnation,A high-quality macro photograph of a carnation flower in full bloom,2,erased
carnation,A high-quality macro photograph of a carnation flower in full bloom,4,erased
carnation,A high-quality macro photograph of a carnation flower in full bloom,5,erased
carnation,"A detailed botanical image of a carnation flower, focused on the petals and textures",0,erased
carnation,"A detailed botanical image of a carnation flower, focused on the petals and textures",1,erased
carnation,"A detailed botanical image of a carnation flower, focused on the petals and textures",2,erased
carnation,"A detailed botanical image of a carnation flower, focused on the petals and textures",3,erased
carnation,"A detailed botanical image of a carnation flower, focused on the petals and textures",4,erased
carnation,A vibrant close-up of a carnation flower covered in morning dew,0,erased
carnation,A vibrant close-up of a carnation flower covered in morning dew,1,erased
carnation,A vibrant close-up of a carnation flower covered in morning dew,2,erased
carnation,A vibrant close-up of a carnation flower covered in morning dew,4,erased
carnation,A vibrant close-up of a carnation flower covered in morning dew,6,erased
carnation,"A professional photograph of a single carnation flower, isolated",0,erased
carnation,"A professional photograph of a single carnation flower, isolated",4,erased
carnation,"A professional photograph of a single carnation flower, isolated",5,erased
carnation,"A professional photograph of a single carnation flower, isolated",6,erased
carnation,"A professional photograph of a single carnation flower, isolated",7,erased
carnation,An artistic close-up photo of a carnation flower with natural lighting and shallow depth of field,0,erased
carnation,An artistic close-up photo of a carnation flower with natural lighting and shallow depth of field,1,erased
carnation,An artistic close-up photo of a carnation flower with natural lighting and shallow depth of field,2,erased
carnation,An artistic close-up photo of a carnation flower with natural lighting and shallow depth of field,3,erased
carnation,An artistic close-up photo of a carnation flower with natural lighting and shallow depth of field,4,erased
garden phlox,A high-quality macro photograph of a garden phlox flower in full bloom,2,erased
garden phlox,A high-quality macro photograph of a garden phlox flower in full bloom,3,erased
garden phlox,A high-quality macro photograph of a garden phlox flower in full bloom,4,erased
garden phlox,A high-quality macro photograph of a garden phlox flower in full bloom,5,erased
garden phlox,A high-quality macro photograph of a garden phlox flower in full bloom,6,erased
garden phlox,"A detailed botanical image of a garden phlox flower, focused on the petals and textures",4,erased
garden phlox,"A detailed botanical image of a garden phlox flower, focused on the petals and textures",6,erased
garden phlox,"A detailed botanical image of a garden phlox flower, focused on the petals and textures",7,erased
garden phlox,"A detailed botanical image of a garden phlox flower, focused on the petals and textures",9,erased
garden phlox,"A detailed botanical image of a garden phlox flower, focused on the petals and textures",11,erased
garden phlox,A vibrant close-up of a garden phlox flower covered in morning dew,1,erased
garden phlox,A vibrant close-up of a garden phlox flower covered in morning dew,3,erased
garden phlox,A vibrant close-up of a garden phlox flower covered in morning dew,4,erased
garden phlox,A vibrant close-up of a garden phlox flower covered in morning dew,6,erased
garden phlox,A vibrant close-up of a garden phlox flower covered in morning dew,7,erased
garden phlox,"A professional photograph of a single garden phlox flower, isolated",1,erased
garden phlox,"A professional photograph of a single garden phlox flower, isolated",4,erased
garden phlox,"A professional photograph of a single garden phlox flower, isolated",5,erased
garden phlox,"A professional photograph of a single garden phlox flower, isolated",6,erased
garden phlox,"A professional photograph of a single garden phlox flower, isolated",8,erased
garden phlox,An artistic close-up photo of a garden phlox flower with natural lighting and shallow depth of field,2,erased
garden phlox,An artistic close-up photo of a garden phlox flower with natural lighting and shallow depth of field,3,erased
garden phlox,An artistic close-up photo of a garden phlox flower with natural lighting and shallow depth of field,4,erased
garden phlox,An artistic close-up photo of a garden phlox flower with natural lighting and shallow depth of field,5,erased
garden phlox,An artistic close-up photo of a garden phlox flower with natural lighting and shallow depth of field,6,erased
alpine sea holly,A high-quality macro photograph of a alpine sea holly flower in full bloom,2,other
alpine sea holly,A high-quality macro photograph of a alpine sea holly flower in full bloom,3,other
alpine sea holly,A high-quality macro photograph of a alpine sea holly flower in full bloom,4,other
alpine sea holly,A high-quality macro photograph of a alpine sea holly flower in full bloom,6,other
alpine sea holly,A high-quality macro photograph of a alpine sea holly flower in full bloom,7,other
alpine sea holly,"A detailed botanical image of a alpine sea holly flower, focused on the petals and textures",2,other
alpine sea holly,"A detailed botanical image of a alpine sea holly flower, focused on the petals and textures",6,other
alpine sea holly,"A detailed botanical image of a alpine sea holly flower, focused on the petals and textures",8,other
alpine sea holly,"A detailed botanical image of a alpine sea holly flower, focused on the petals and textures",12,other
alpine sea holly,"A detailed botanical image of a alpine sea holly flower, focused on the petals and textures",14,other
alpine sea holly,A vibrant close-up of a alpine sea holly flower covered in morning dew,0,other
alpine sea holly,A vibrant close-up of a alpine sea holly flower covered in morning dew,6,other
alpine sea holly,A vibrant close-up of a alpine sea holly flower covered in morning dew,7,other
alpine sea holly,A vibrant close-up of a alpine sea holly flower covered in morning dew,9,other
alpine sea holly,A vibrant close-up of a alpine sea holly flower covered in morning dew,12,other
alpine sea holly,"A professional photograph of a single alpine sea holly flower, isolated",0,other
alpine sea holly,"A professional photograph of a single alpine sea holly flower, isolated",7,other
alpine sea holly,"A professional photograph of a single alpine sea holly flower, isolated",10,other
alpine sea holly,"A professional photograph of a single alpine sea holly flower, isolated",14,other
alpine sea holly,"A professional photograph of a single alpine sea holly flower, isolated",18,other
alpine sea holly,An artistic close-up photo of a alpine sea holly flower with natural lighting and shallow depth of field,2,other
alpine sea holly,An artistic close-up photo of a alpine sea holly flower with natural lighting and shallow depth of field,3,other
alpine sea holly,An artistic close-up photo of a alpine sea holly flower with natural lighting and shallow depth of field,6,other
alpine sea holly,An artistic close-up photo of a alpine sea holly flower with natural lighting and shallow depth of field,7,other
alpine sea holly,An artistic close-up photo of a alpine sea holly flower with natural lighting and shallow depth of field,9,other
daffodil,A high-quality macro photograph of a daffodil flower in full bloom,3,other
daffodil,A high-quality macro photograph of a daffodil flower in full bloom,4,other
daffodil,A high-quality macro photograph of a daffodil flower in full bloom,5,other
daffodil,A high-quality macro photograph of a daffodil flower in full bloom,6,other
daffodil,A high-quality macro photograph of a daffodil flower in full bloom,7,other
daffodil,"A detailed botanical image of a daffodil flower, focused on the petals and textures",3,other
daffodil,"A detailed botanical image of a daffodil flower, focused on the petals and textures",4,other
daffodil,"A detailed botanical image of a daffodil flower, focused on the petals and textures",5,other
daffodil,"A detailed botanical image of a daffodil flower, focused on the petals and textures",7,other
daffodil,"A detailed botanical image of a daffodil flower, focused on the petals and textures",8,other
daffodil,A vibrant close-up of a daffodil flower covered in morning dew,3,other
daffodil,A vibrant close-up of a daffodil flower covered in morning dew,4,other
daffodil,A vibrant close-up of a daffodil flower covered in morning dew,7,other
daffodil,A vibrant close-up of a daffodil flower covered in morning dew,8,other
daffodil,A vibrant close-up of a daffodil flower covered in morning dew,9,other
daffodil,"A professional photograph of a single daffodil flower, isolated",0,other
daffodil,"A professional photograph of a single daffodil flower, isolated",1,other
daffodil,"A professional photograph of a single daffodil flower, isolated",2,other
daffodil,"A professional photograph of a single daffodil flower, isolated",4,other
