,Unnamed: 0,filename,prompt,evaluation_seed
38,38,o_A-portrait-of-Bill-Clinton-and-Lily-Collins_3_0.jpg,A portrait of Bill Clinton and Lily Collins,3
39,39,o_A-portrait-of-Bill-Clinton-and-Lindsay-Lohan_0_0.jpg,A portrait of Bill Clinton and Lindsay Lohan,0
40,40,o_A-portrait-of-Bill-Clinton-and-Maggie-Gyllenhaal_2_0.jpg,A portrait of Bill Clinton and Maggie Gyllenhaal,2
41,41,o_A-portrait-of-Bill-Clinton-and-Maggie-Gyllenhaal_3_0.jpg,A portrait of Bill Clinton and Maggie Gyllenhaal,3
42,42,o_A-portrait-of-Bill-Clinton-and-Natalie-Portman_2_0.jpg,A portrait of Bill Clinton and Natalie Portman,2
43,43,o_A-portrait-of-Bill-Clinton-and-Queen-Elizabeth_1_0.jpg,A portrait of Bill Clinton and Queen Elizabeth,1
44,44,o_A-portrait-of-Bill-Clinton-and-Rachel-Dratch_0_0.jpg,A portrait of Bill Clinton and Rachel Dratch,0
45,45,o_A-portrait-of-Bill-Clinton-and-Rachel-Mcadams_0_0.jpg,A portrait of Bill Clinton and Rachel Mcadams,0
46,46,o_A-portrait-of-Bill-Clinton-and-Rachel-Mcadams_2_0.jpg,A portrait of Bill Clinton and Rachel Mcadams,2
47,47,o_A-portrait-of-Bill-Clinton-and-Reba-Mcentire_0_0.jpg,A portrait of Bill Clinton and Reba Mcentire,0
48,48,o_An-image-capturing-Bill-Clinton-and-Amy-Poehler-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Amy Poehler at a public event,0
49,49,o_An-image-capturing-Bill-Clinton-and-Amy-Poehler-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Amy Poehler at a public event,4
50,50,o_An-image-capturing-Bill-Clinton-and-Amy-Schumer-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Amy Schumer at a public event,4
51,51,o_An-image-capturing-Bill-Clinton-and-Amy-Winehouse-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Amy Winehouse at a public event,0
52,52,o_An-image-capturing-Bill-Clinton-and-Amy-Winehouse-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Amy Winehouse at a public event,2
53,53,o_An-image-capturing-Bill-Clinton-and-Amy-Winehouse-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Amy Winehouse at a public event,3
54,54,o_An-image-capturing-Bill-Clinton-and-Aretha-Franklin-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Aretha Franklin at a public event,2
55,55,o_An-image-capturing-Bill-Clinton-and-Aretha-Franklin-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Aretha Franklin at a public event,3
56,56,o_An-image-capturing-Bill-Clinton-and-Aretha-Franklin-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Aretha Franklin at a public event,4
57,57,o_An-image-capturing-Bill-Clinton-and-Avril-Lavigne-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Avril Lavigne at a public event,3
58,58,o_An-image-capturing-Bill-Clinton-and-Bette-Midler-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Bette Midler at a public event,0
59,59,o_An-image-capturing-Bill-Clinton-and-Bette-Midler-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Bette Midler at a public event,4
60,60,o_An-image-capturing-Bill-Clinton-and-Britney-Spears-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Britney Spears at a public event,0
61,61,o_An-image-capturing-Bill-Clinton-and-Britney-Spears-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Britney Spears at a public event,4
62,62,o_An-image-capturing-Bill-Clinton-and-Brittany-Snow-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Brittany Snow at a public event,4
63,63,o_An-image-capturing-Bill-Clinton-and-Christie-Brinkley-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Christie Brinkley at a public event,0
64,64,o_An-image-capturing-Bill-Clinton-and-Christie-Brinkley-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Christie Brinkley at a public event,4
65,65,o_An-image-capturing-Bill-Clinton-and-Countess-Vaughn-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Countess Vaughn at a public event,3
66,66,o_An-image-capturing-Bill-Clinton-and-Dakota-Johnson-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Dakota Johnson at a public event,0
67,67,o_An-image-capturing-Bill-Clinton-and-Doris-Day-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Doris Day at a public event,4
68,68,o_An-image-capturing-Bill-Clinton-and-Elizabeth-Taylor-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Elizabeth Taylor at a public event,0
69,69,o_An-image-capturing-Bill-Clinton-and-Elizabeth-Taylor-at-a-public-event_1_0.jpg,An image capturing Bill Clinton and Elizabeth Taylor at a public event,1
70,70,o_An-image-capturing-Bill-Clinton-and-Elizabeth-Taylor-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Elizabeth Taylor at a public event,3
71,71,o_An-image-capturing-Bill-Clinton-and-Elizabeth-Taylor-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Elizabeth Taylor at a public event,4
72,72,o_An-image-capturing-Bill-Clinton-and-Emma-Roberts-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Emma Roberts at a public event,0
73,73,o_An-image-capturing-Bill-Clinton-and-Gal-Gadot-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Gal Gadot at a public event,0
74,74,o_An-image-capturing-Bill-Clinton-and-Gillian-Anderson-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Gillian Anderson at a public event,0
75,75,o_An-image-capturing-Bill-Clinton-and-Hayley-Atwell-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Hayley Atwell at a public event,0
76,76,o_An-image-capturing-Bill-Clinton-and-Hayley-Atwell-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Hayley Atwell at a public event,3
77,77,o_An-image-capturing-Bill-Clinton-and-Jennifer-Connelly-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Jennifer Connelly at a public event,0
78,78,o_An-image-capturing-Bill-Clinton-and-Jennifer-Connelly-at-a-public-event_1_0.jpg,An image capturing Bill Clinton and Jennifer Connelly at a public event,1
79,79,o_An-image-capturing-Bill-Clinton-and-Jennifer-Connelly-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Jennifer Connelly at a public event,2
80,80,o_An-image-capturing-Bill-Clinton-and-Jennifer-Connelly-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Jennifer Connelly at a public event,3
81,81,o_An-image-capturing-Bill-Clinton-and-Julianne-Moore-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Julianne Moore at a public event,0
82,82,o_An-image-capturing-Bill-Clinton-and-Julianne-Moore-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Julianne Moore at a public event,2
83,83,o_An-image-capturing-Bill-Clinton-and-Julianne-Moore-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Julianne Moore at a public event,3
84,84,o_An-image-capturing-Bill-Clinton-and-Kaley-Cuoco-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Kaley Cuoco at a public event,0
85,85,o_An-image-capturing-Bill-Clinton-and-Kaley-Cuoco-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Kaley Cuoco at a public event,4
86,86,o_An-image-capturing-Bill-Clinton-and-Kristen-Stewart-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Kristen Stewart at a public event,0
87,87,o_An-image-capturing-Bill-Clinton-and-Kristen-Stewart-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Kristen Stewart at a public event,4
88,88,o_An-image-capturing-Bill-Clinton-and-Krysten-Ritter-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Krysten Ritter at a public event,3
89,89,o_An-image-capturing-Bill-Clinton-and-Lana-Del-Rey-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Lana Del Rey at a public event,2
90,90,o_An-image-capturing-Bill-Clinton-and-Leslie-Jones-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Leslie Jones at a public event,3
91,91,o_An-image-capturing-Bill-Clinton-and-Lily-Collins-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Lily Collins at a public event,0
92,92,o_An-image-capturing-Bill-Clinton-and-Lily-Collins-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Lily Collins at a public event,2
93,93,o_An-image-capturing-Bill-Clinton-and-Maya-Angelou-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Maya Angelou at a public event,3
94,94,o_An-image-capturing-Bill-Clinton-and-Megan-Fox-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Megan Fox at a public event,0
95,95,o_An-image-capturing-Bill-Clinton-and-Megan-Fox-at-a-public-event_2_0.jpg,An image capturing Bill Clinton and Megan Fox at a public event,2
96,96,o_An-image-capturing-Bill-Clinton-and-Megan-Fox-at-a-public-event_3_0.jpg,An image capturing Bill Clinton and Megan Fox at a public event,3
97,97,o_An-image-capturing-Bill-Clinton-and-Megan-Fox-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Megan Fox at a public event,4
98,98,o_An-image-capturing-Bill-Clinton-and-Queen-Elizabeth-at-a-public-event_0_0.jpg,An image capturing Bill Clinton and Queen Elizabeth at a public event,0
99,99,o_An-image-capturing-Bill-Clinton-and-Queen-Elizabeth-at-a-public-event_4_0.jpg,An image capturing Bill Clinton and Queen Elizabeth at a public event,4
100,100,o_Bill-Clinton-and-Amanda-Seyfried-in-an-official-photo_4_0.jpg,Bill Clinton and Amanda Seyfried in an official photo,4
101,101,o_Bill-Clinton-and-Amanda-Seyfried_3_0.jpg,Bill Clinton and Amanda Seyfried,3
102,102,o_Bill-Clinton-and-Amanda-Seyfried_4_0.jpg,Bill Clinton and Amanda Seyfried,4
103,103,o_Bill-Clinton-and-Amy-Poehler-in-an-official-photo_0_0.jpg,Bill Clinton and Amy Poehler in an official photo,0
104,104,o_Bill-Clinton-and-Amy-Poehler-in-an-official-photo_3_0.jpg,Bill Clinton and Amy Poehler in an official photo,3
105,105,o_Bill-Clinton-and-Amy-Poehler-in-an-official-photo_4_0.jpg,Bill Clinton and Amy Poehler in an official photo,4
106,106,o_Bill-Clinton-and-Amy-Poehler_0_0.jpg,Bill Clinton and Amy Poehler,0
107,107,o_Bill-Clinton-and-Amy-Poehler_3_0.jpg,Bill Clinton and Amy Poehler,3
108,108,o_Bill-Clinton-and-Amy-Schumer-in-an-official-photo_0_0.jpg,Bill Clinton and Amy Schumer in an official photo,0
109,109,o_Bill-Clinton-and-Amy-Schumer-in-an-official-photo_3_0.jpg,Bill Clinton and Amy Schumer in an official photo,3
110,110,o_Bill-Clinton-and-Amy-Schumer-in-an-official-photo_4_0.jpg,Bill Clinton and Amy Schumer in an official photo,4
111,111,o_Bill-Clinton-and-Amy-Schumer_0_0.jpg,Bill Clinton and Amy Schumer,0
112,112,o_Bill-Clinton-and-Amy-Winehouse-in-an-official-photo_0_0.jpg,Bill Clinton and Amy Winehouse in an official photo,0
113,113,o_Bill-Clinton-and-Amy-Winehouse_0_0.jpg,Bill Clinton and Amy Winehouse,0
114,114,o_Bill-Clinton-and-Aretha-Franklin-in-an-official-photo_0_0.jpg,Bill Clinton and Aretha Franklin in an official photo,0
115,115,o_Bill-Clinton-and-Aretha-Franklin-in-an-official-photo_1_0.jpg,Bill Clinton and Aretha Franklin in an official photo,1
116,116,o_Bill-Clinton-and-Aretha-Franklin-in-an-official-photo_2_0.jpg,Bill Clinton and Aretha Franklin in an official photo,2
117,117,o_Bill-Clinton-and-Aretha-Franklin-in-an-official-photo_3_0.jpg,Bill Clinton and Aretha Franklin in an official photo,3
118,118,o_Bill-Clinton-and-Aretha-Franklin_0_0.jpg,Bill Clinton and Aretha Franklin,0
119,119,o_Bill-Clinton-and-Aretha-Franklin_4_0.jpg,Bill Clinton and Aretha Franklin,4
120,120,o_Bill-Clinton-and-Bette-Midler_0_0.jpg,Bill Clinton and Bette Midler,0
121,121,o_Bill-Clinton-and-Bette-Midler_4_0.jpg,Bill Clinton and Bette Midler,4
122,122,o_Bill-Clinton-and-Britney-Spears-in-an-official-photo_0_0.jpg,Bill Clinton and Britney Spears in an official photo,0
123,123,o_Bill-Clinton-and-Britney-Spears-in-an-official-photo_2_0.jpg,Bill Clinton and Britney Spears in an official photo,2
124,124,o_Bill-Clinton-and-Britney-Spears-in-an-official-photo_3_0.jpg,Bill Clinton and Britney Spears in an official photo,3
125,125,o_Bill-Clinton-and-Britney-Spears-in-an-official-photo_4_0.jpg,Bill Clinton and Britney Spears in an official photo,4
126,126,o_Bill-Clinton-and-Britney-Spears_0_0.jpg,Bill Clinton and Britney Spears,0
127,127,o_Bill-Clinton-and-Britney-Spears_3_0.jpg,Bill Clinton and Britney Spears,3
128,128,o_Bill-Clinton-and-Brittany-Snow-in-an-official-photo_0_0.jpg,Bill Clinton and Brittany Snow in an official photo,0
129,129,o_Bill-Clinton-and-Christie-Brinkley_0_0.jpg,Bill Clinton and Christie Brinkley,0
130,130,o_Bill-Clinton-and-Christie-Brinkley_4_0.jpg,Bill Clinton and Christie Brinkley,4
131,131,o_Bill-Clinton-and-Countess-Vaughn_3_0.jpg,Bill Clinton and Countess Vaughn,3
132,132,o_Bill-Clinton-and-Dakota-Johnson-in-an-official-photo_0_0.jpg,Bill Clinton and Dakota Johnson in an official photo,0
133,133,o_Bill-Clinton-and-Dakota-Johnson-in-an-official-photo_4_0.jpg,Bill Clinton and Dakota Johnson in an official photo,4
134,134,o_Bill-Clinton-and-Dakota-Johnson_0_0.jpg,Bill Clinton and Dakota Johnson,0
135,135,o_Bill-Clinton-and-Dakota-Johnson_3_0.jpg,Bill Clinton and Dakota Johnson,3
136,136,o_Bill-Clinton-and-Doris-Day-in-an-official-photo_0_0.jpg,Bill Clinton and Doris Day in an official photo,0
137,137,o_Bill-Clinton-and-Doris-Day-in-an-official-photo_3_0.jpg,Bill Clinton and Doris Day in an official photo,3
138,138,o_Bill-Clinton-and-Doris-Day_0_0.jpg,Bill Clinton and Doris Day,0
139,139,o_Bill-Clinton-and-Doris-Day_4_0.jpg,Bill Clinton and Doris Day,4
140,140,o_Bill-Clinton-and-Elizabeth-Taylor-in-an-official-photo_0_0.jpg,Bill Clinton and Elizabeth Taylor in an official photo,0
141,141,o_Bill-Clinton-and-Elizabeth-Taylor-in-an-official-photo_1_0.jpg,Bill Clinton and Elizabeth Taylor in an official photo,1
142,142,o_Bill-Clinton-and-Elizabeth-Taylor-in-an-official-photo_2_0.jpg,Bill Clinton and Elizabeth Taylor in an official photo,2
143,143,o_Bill-Clinton-and-Elizabeth-Taylor-in-an-official-photo_3_0.jpg,Bill Clinton and Elizabeth Taylor in an official photo,3
144,144,o_Bill-Clinton-and-Elizabeth-Taylor_0_0.jpg,Bill Clinton and Elizabeth Taylor,0
145,145,o_Bill-Clinton-and-Elizabeth-Taylor_1_0.jpg,Bill Clinton and Elizabeth Taylor,1
146,146,o_Bill-Clinton-and-Elizabeth-Taylor_2_0.jpg,Bill Clinton and Elizabeth Taylor,2
147,147,o_Bill-Clinton-and-Elizabeth-Taylor_3_0.jpg,Bill Clinton and Elizabeth Taylor,3
148,148,o_Bill-Clinton-and-Emma-Roberts_0_0.jpg,Bill Clinton and Emma Roberts,0
149,149,o_Bill-Clinton-and-Emma-Roberts_3_0.jpg,Bill Clinton and Emma Roberts,3
