,Unnamed: 0,filename,prompt,evaluation_seed
16,16,o_A-portrait-of-Anna-Kendrick-and-Fred-Rogers_1_0.jpg,A portrait of Anna Kendrick and Fred Rogers,1
17,17,o_A-portrait-of-Anna-Kendrick-and-Fred-Rogers_3_0.jpg,A portrait of Anna Kendrick and Fred Rogers,3
18,18,o_A-portrait-of-Anna-Kendrick-and-Fred-Rogers_4_0.jpg,A portrait of Anna Kendrick and Fred Rogers,4
19,19,o_A-portrait-of-Anna-Kendrick-and-George-Bush_3_0.jpg,A portrait of Anna Kendrick and George Bush,3
20,20,o_A-portrait-of-Anna-Kendrick-and-George-Takei_0_0.jpg,A portrait of Anna Kendrick and George Takei,0
21,21,o_A-portrait-of-Anna-Kendrick-and-George-Takei_1_0.jpg,A portrait of Anna Kendrick and George Takei,1
22,22,o_A-portrait-of-Anna-Kendrick-and-George-Takei_3_0.jpg,A portrait of Anna Kendrick and George Takei,3
23,23,o_A-portrait-of-Anna-Kendrick-and-Gordon-Ramsey_4_0.jpg,A portrait of Anna Kendrick and Gordon Ramsey,4
24,24,o_A-portrait-of-Anna-Kendrick-and-Harry-Dean-Stanton_4_0.jpg,A portrait of Anna Kendrick and Harry Dean Stanton,4
25,25,o_A-portrait-of-Anna-Kendrick-and-Heath-Ledger_0_0.jpg,A portrait of Anna Kendrick and Heath Ledger,0
26,26,o_A-portrait-of-Anna-Kendrick-and-Jackie-Chan_1_0.jpg,A portrait of Anna Kendrick and Jackie Chan,1
27,27,o_A-portrait-of-Anna-Kendrick-and-Jackie-Chan_4_0.jpg,A portrait of Anna Kendrick and Jackie Chan,4
28,28,o_A-portrait-of-Anna-Kendrick-and-Jason-Statham_0_0.jpg,A portrait of Anna Kendrick and Jason Statham,0
29,29,o_A-portrait-of-Anna-Kendrick-and-Jason-Statham_3_0.jpg,A portrait of Anna Kendrick and Jason Statham,3
30,30,o_A-portrait-of-Anna-Kendrick-and-Jeff-Bridges_0_0.jpg,A portrait of Anna Kendrick and Jeff Bridges,0
31,31,o_A-portrait-of-Anna-Kendrick-and-Jeff-Bridges_4_0.jpg,A portrait of Anna Kendrick and Jeff Bridges,4
32,32,o_A-portrait-of-Anna-Kendrick-and-Joan-Rivers_1_0.jpg,A portrait of Anna Kendrick and Joan Rivers,1
33,33,o_A-portrait-of-Anna-Kendrick-and-Johnny-Cash_0_0.jpg,A portrait of Anna Kendrick and Johnny Cash,0
34,34,o_A-portrait-of-Anna-Kendrick-and-Justin-Bieber_0_0.jpg,A portrait of Anna Kendrick and Justin Bieber,0
35,35,o_A-portrait-of-Anna-Kendrick-and-Keanu-Reeves_0_0.jpg,A portrait of Anna Kendrick and Keanu Reeves,0
36,36,o_A-portrait-of-Anna-Kendrick-and-Keanu-Reeves_1_0.jpg,A portrait of Anna Kendrick and Keanu Reeves,1
37,37,o_A-portrait-of-Anna-Kendrick-and-Matt-Damon_4_0.jpg,A portrait of Anna Kendrick and Matt Damon,4
38,38,o_A-portrait-of-Anna-Kendrick-and-Matt-Smith_3_0.jpg,A portrait of Anna Kendrick and Matt Smith,3
39,39,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_0_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,0
40,40,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_1_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,1
41,41,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_3_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,3
42,42,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_4_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,4
43,43,o_A-portrait-of-Anna-Kendrick-and-Mel-Gibson_0_0.jpg,A portrait of Anna Kendrick and Mel Gibson,0
44,44,o_A-portrait-of-Anna-Kendrick-and-Mel-Gibson_4_0.jpg,A portrait of Anna Kendrick and Mel Gibson,4
45,45,o_A-portrait-of-Anna-Kendrick-and-Michael-Ealy_1_0.jpg,A portrait of Anna Kendrick and Michael Ealy,1
46,46,o_A-portrait-of-Anna-Kendrick-and-Michael-Ealy_3_0.jpg,A portrait of Anna Kendrick and Michael Ealy,3
47,47,o_A-portrait-of-Anna-Kendrick-and-Neil-Degrasse-Tyson_1_0.jpg,A portrait of Anna Kendrick and Neil Degrasse Tyson,1
48,48,o_A-portrait-of-Anna-Kendrick-and-Paul-Rudd_3_0.jpg,A portrait of Anna Kendrick and Paul Rudd,3
49,49,o_A-portrait-of-Anna-Kendrick-and-Robert-De-Niro_0_0.jpg,A portrait of Anna Kendrick and Robert De Niro,0
50,50,o_A-portrait-of-Anna-Kendrick-and-Robert-De-Niro_3_0.jpg,A portrait of Anna Kendrick and Robert De Niro,3
51,51,o_An-image-capturing-Anna-Kendrick-and-Aaron-Paul-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Aaron Paul at a public event,3
52,52,o_An-image-capturing-Anna-Kendrick-and-Aaron-Paul-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Aaron Paul at a public event,4
53,53,o_An-image-capturing-Anna-Kendrick-and-Barry-Manilow-at-a-public-event_1_0.jpg,An image capturing Anna Kendrick and Barry Manilow at a public event,1
54,54,o_An-image-capturing-Anna-Kendrick-and-Ben-Affleck-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Ben Affleck at a public event,0
55,55,o_An-image-capturing-Anna-Kendrick-and-Ben-Stiller-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Ben Stiller at a public event,0
56,56,o_An-image-capturing-Anna-Kendrick-and-Ben-Stiller-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Ben Stiller at a public event,4
57,57,o_An-image-capturing-Anna-Kendrick-and-Bill-Nye-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Bill Nye at a public event,3
58,58,o_An-image-capturing-Anna-Kendrick-and-Bill-Nye-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Bill Nye at a public event,4
59,59,o_An-image-capturing-Anna-Kendrick-and-Burt-Reynolds-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Burt Reynolds at a public event,0
60,60,o_An-image-capturing-Anna-Kendrick-and-Burt-Reynolds-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Burt Reynolds at a public event,3
61,61,o_An-image-capturing-Anna-Kendrick-and-Clint-Eastwood-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Clint Eastwood at a public event,3
62,62,o_An-image-capturing-Anna-Kendrick-and-David-Bowie-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and David Bowie at a public event,3
63,63,o_An-image-capturing-Anna-Kendrick-and-Fred-Rogers-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Fred Rogers at a public event,4
64,64,o_An-image-capturing-Anna-Kendrick-and-George-Bush-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and George Bush at a public event,0
65,65,o_An-image-capturing-Anna-Kendrick-and-George-Takei-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and George Takei at a public event,0
66,66,o_An-image-capturing-Anna-Kendrick-and-Gordon-Ramsey-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Gordon Ramsey at a public event,4
67,67,o_An-image-capturing-Anna-Kendrick-and-Harry-Dean-Stanton-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Harry Dean Stanton at a public event,0
68,68,o_An-image-capturing-Anna-Kendrick-and-Harry-Dean-Stanton-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Harry Dean Stanton at a public event,4
69,69,o_An-image-capturing-Anna-Kendrick-and-Jackie-Chan-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Jackie Chan at a public event,0
70,70,o_An-image-capturing-Anna-Kendrick-and-James-Garner-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and James Garner at a public event,3
71,71,o_An-image-capturing-Anna-Kendrick-and-James-Garner-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and James Garner at a public event,4
72,72,o_An-image-capturing-Anna-Kendrick-and-Jason-Statham-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Jason Statham at a public event,0
73,73,o_An-image-capturing-Anna-Kendrick-and-Jason-Statham-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Jason Statham at a public event,4
74,74,o_An-image-capturing-Anna-Kendrick-and-Jeff-Bridges-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Jeff Bridges at a public event,0
75,75,o_An-image-capturing-Anna-Kendrick-and-Jeff-Bridges-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Jeff Bridges at a public event,3
76,76,o_An-image-capturing-Anna-Kendrick-and-Jimmy-Carter-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Jimmy Carter at a public event,0
77,77,o_An-image-capturing-Anna-Kendrick-and-Joan-Rivers-at-a-public-event_1_0.jpg,An image capturing Anna Kendrick and Joan Rivers at a public event,1
78,78,o_An-image-capturing-Anna-Kendrick-and-Justin-Bieber-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Justin Bieber at a public event,4
79,79,o_An-image-capturing-Anna-Kendrick-and-Keanu-Reeves-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Keanu Reeves at a public event,4
80,80,o_An-image-capturing-Anna-Kendrick-and-Matt-Damon-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Matt Damon at a public event,0
81,81,o_An-image-capturing-Anna-Kendrick-and-Michael-Ealy-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Michael Ealy at a public event,3
82,82,o_An-image-capturing-Anna-Kendrick-and-Patrick-Stewart-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Patrick Stewart at a public event,3
83,83,o_An-image-capturing-Anna-Kendrick-and-Pierce-Brosnan-at-a-public-event_3_0.jpg,An image capturing Anna Kendrick and Pierce Brosnan at a public event,3
84,84,o_An-image-capturing-Anna-Kendrick-and-Pierce-Brosnan-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Pierce Brosnan at a public event,4
85,85,o_An-image-capturing-Anna-Kendrick-and-Robert-De-Niro-at-a-public-event_0_0.jpg,An image capturing Anna Kendrick and Robert De Niro at a public event,0
86,86,o_An-image-capturing-Anna-Kendrick-and-Robert-De-Niro-at-a-public-event_4_0.jpg,An image capturing Anna Kendrick and Robert De Niro at a public event,4
87,87,o_Anna-Kendrick-and-Aaron-Paul-in-an-official-photo_3_0.jpg,Anna Kendrick and Aaron Paul in an official photo,3
88,88,o_Anna-Kendrick-and-Aaron-Paul-in-an-official-photo_4_0.jpg,Anna Kendrick and Aaron Paul in an official photo,4
89,89,o_Anna-Kendrick-and-Aaron-Paul_3_0.jpg,Anna Kendrick and Aaron Paul,3
90,90,o_Anna-Kendrick-and-Aziz-Ansari-in-an-official-photo_1_0.jpg,Anna Kendrick and Aziz Ansari in an official photo,1
91,91,o_Anna-Kendrick-and-Aziz-Ansari_1_0.jpg,Anna Kendrick and Aziz Ansari,1
92,92,o_Anna-Kendrick-and-Aziz-Ansari_4_0.jpg,Anna Kendrick and Aziz Ansari,4
93,93,o_Anna-Kendrick-and-Ben-Affleck-in-an-official-photo_0_0.jpg,Anna Kendrick and Ben Affleck in an official photo,0
94,94,o_Anna-Kendrick-and-Ben-Affleck-in-an-official-photo_1_0.jpg,Anna Kendrick and Ben Affleck in an official photo,1
95,95,o_Anna-Kendrick-and-Ben-Affleck-in-an-official-photo_3_0.jpg,Anna Kendrick and Ben Affleck in an official photo,3
96,96,o_Anna-Kendrick-and-Ben-Affleck-in-an-official-photo_4_0.jpg,Anna Kendrick and Ben Affleck in an official photo,4
97,97,o_Anna-Kendrick-and-Ben-Affleck_0_0.jpg,Anna Kendrick and Ben Affleck,0
98,98,o_Anna-Kendrick-and-Ben-Stiller-in-an-official-photo_1_0.jpg,Anna Kendrick and Ben Stiller in an official photo,1
99,99,o_Anna-Kendrick-and-Ben-Stiller-in-an-official-photo_3_0.jpg,Anna Kendrick and Ben Stiller in an official photo,3
100,100,o_Anna-Kendrick-and-Ben-Stiller-in-an-official-photo_4_0.jpg,Anna Kendrick and Ben Stiller in an official photo,4
101,101,o_Anna-Kendrick-and-Ben-Stiller_3_0.jpg,Anna Kendrick and Ben Stiller,3
102,102,o_Anna-Kendrick-and-Bill-Murray-in-an-official-photo_0_0.jpg,Anna Kendrick and Bill Murray in an official photo,0
103,103,o_Anna-Kendrick-and-Bill-Murray-in-an-official-photo_4_0.jpg,Anna Kendrick and Bill Murray in an official photo,4
104,104,o_Anna-Kendrick-and-Bill-Murray_0_0.jpg,Anna Kendrick and Bill Murray,0
105,105,o_Anna-Kendrick-and-Bill-Murray_1_0.jpg,Anna Kendrick and Bill Murray,1
106,106,o_Anna-Kendrick-and-Bill-Murray_3_0.jpg,Anna Kendrick and Bill Murray,3
107,107,o_Anna-Kendrick-and-Bill-Nye-in-an-official-photo_0_0.jpg,Anna Kendrick and Bill Nye in an official photo,0
108,108,o_Anna-Kendrick-and-Bill-Nye-in-an-official-photo_3_0.jpg,Anna Kendrick and Bill Nye in an official photo,3
109,109,o_Anna-Kendrick-and-Bill-Nye-in-an-official-photo_4_0.jpg,Anna Kendrick and Bill Nye in an official photo,4
110,110,o_Anna-Kendrick-and-Bill-Nye_0_0.jpg,Anna Kendrick and Bill Nye,0
111,111,o_Anna-Kendrick-and-Bill-Nye_1_0.jpg,Anna Kendrick and Bill Nye,1
112,112,o_Anna-Kendrick-and-Bill-Nye_3_0.jpg,Anna Kendrick and Bill Nye,3
113,113,o_Anna-Kendrick-and-Bill-Nye_4_0.jpg,Anna Kendrick and Bill Nye,4
114,114,o_Anna-Kendrick-and-Bruce-Lee-in-an-official-photo_1_0.jpg,Anna Kendrick and Bruce Lee in an official photo,1
115,115,o_Anna-Kendrick-and-Bruce-Lee_1_0.jpg,Anna Kendrick and Bruce Lee,1
116,116,o_Anna-Kendrick-and-Burt-Reynolds-in-an-official-photo_3_0.jpg,Anna Kendrick and Burt Reynolds in an official photo,3
117,117,o_Anna-Kendrick-and-Burt-Reynolds_1_0.jpg,Anna Kendrick and Burt Reynolds,1
118,118,o_Anna-Kendrick-and-Burt-Reynolds_3_0.jpg,Anna Kendrick and Burt Reynolds,3
119,119,o_Anna-Kendrick-and-Charles-Manson_4_0.jpg,Anna Kendrick and Charles Manson,4
120,120,o_Anna-Kendrick-and-Clint-Eastwood-in-an-official-photo_1_0.jpg,Anna Kendrick and Clint Eastwood in an official photo,1
121,121,o_Anna-Kendrick-and-Clint-Eastwood_3_0.jpg,Anna Kendrick and Clint Eastwood,3
122,122,o_Anna-Kendrick-and-David-Bowie-in-an-official-photo_1_0.jpg,Anna Kendrick and David Bowie in an official photo,1
123,123,o_Anna-Kendrick-and-David-Bowie-in-an-official-photo_3_0.jpg,Anna Kendrick and David Bowie in an official photo,3
124,124,o_Anna-Kendrick-and-David-Bowie-in-an-official-photo_4_0.jpg,Anna Kendrick and David Bowie in an official photo,4
125,125,o_Anna-Kendrick-and-David-Bowie_1_0.jpg,Anna Kendrick and David Bowie,1
126,126,o_Anna-Kendrick-and-David-Bowie_3_0.jpg,Anna Kendrick and David Bowie,3
127,127,o_Anna-Kendrick-and-Fred-Rogers-in-an-official-photo_1_0.jpg,Anna Kendrick and Fred Rogers in an official photo,1
128,128,o_Anna-Kendrick-and-George-Takei-in-an-official-photo_0_0.jpg,Anna Kendrick and George Takei in an official photo,0
129,129,o_Anna-Kendrick-and-George-Takei-in-an-official-photo_1_0.jpg,Anna Kendrick and George Takei in an official photo,1
130,130,o_Anna-Kendrick-and-George-Takei-in-an-official-photo_3_0.jpg,Anna Kendrick and George Takei in an official photo,3
131,131,o_Anna-Kendrick-and-George-Takei_0_0.jpg,Anna Kendrick and George Takei,0
132,132,o_Anna-Kendrick-and-George-Takei_1_0.jpg,Anna Kendrick and George Takei,1
133,133,o_Anna-Kendrick-and-George-Takei_3_0.jpg,Anna Kendrick and George Takei,3
134,134,o_Anna-Kendrick-and-Gordon-Ramsey-in-an-official-photo_4_0.jpg,Anna Kendrick and Gordon Ramsey in an official photo,4
135,135,o_Anna-Kendrick-and-Gordon-Ramsey_0_0.jpg,Anna Kendrick and Gordon Ramsey,0
136,136,o_Anna-Kendrick-and-Gordon-Ramsey_4_0.jpg,Anna Kendrick and Gordon Ramsey,4
137,137,o_Anna-Kendrick-and-Harry-Dean-Stanton_3_0.jpg,Anna Kendrick and Harry Dean Stanton,3
138,138,o_Anna-Kendrick-and-Heath-Ledger-in-an-official-photo_0_0.jpg,Anna Kendrick and Heath Ledger in an official photo,0
139,139,o_Anna-Kendrick-and-Heath-Ledger_0_0.jpg,Anna Kendrick and Heath Ledger,0
140,140,o_Anna-Kendrick-and-Henry-Cavill-in-an-official-photo_3_0.jpg,Anna Kendrick and Henry Cavill in an official photo,3
141,141,o_Anna-Kendrick-and-Jackie-Chan-in-an-official-photo_0_0.jpg,Anna Kendrick and Jackie Chan in an official photo,0
142,142,o_Anna-Kendrick-and-Jackie-Chan-in-an-official-photo_1_0.jpg,Anna Kendrick and Jackie Chan in an official photo,1
143,143,o_Anna-Kendrick-and-Jackie-Chan_1_0.jpg,Anna Kendrick and Jackie Chan,1
144,144,o_Anna-Kendrick-and-Jackie-Chan_3_0.jpg,Anna Kendrick and Jackie Chan,3
145,145,o_Anna-Kendrick-and-Jada-Pinkett-Smith-in-an-official-photo_3_0.jpg,Anna Kendrick and Jada Pinkett Smith in an official photo,3
146,146,o_Anna-Kendrick-and-Jada-Pinkett-Smith_3_0.jpg,Anna Kendrick and Jada Pinkett Smith,3
147,147,o_Anna-Kendrick-and-Jason-Statham_0_0.jpg,Anna Kendrick and Jason Statham,0
148,148,o_Anna-Kendrick-and-Jason-Statham_1_0.jpg,Anna Kendrick and Jason Statham,1
149,149,o_Anna-Kendrick-and-Jason-Statham_4_0.jpg,Anna Kendrick and Jason Statham,4
